PadID,Diversion,padDA,flume
RHO06Tv,Yes,0,NC
RHO07C,NA,5.468750001,C
RHO07Cv,Yes,0,C
RHO07T,NA,13.46875,C
RHO08C,NA,47.99999996,NC
RHO08T,NA,25.77221679,C
RHO08Tv,Yes,0,C
RHO09C,NA,477.9718629,NC
RHO09T,NA,47.34069824,C
RHO09Tv,Yes,0,C
RHO10C,NA,28.15301513,NC
RHO10Cv,Yes,0,NC
RHO10T,NA,5.46875,NC
RHO11C,NA,42.80749511,NC
RHO11T,NA,5.46875,NC
RHO12C,NA,5.387573245,NC
RHO12Cv,Yes,0,NC
RHO12T,NA,35.81231689,C
RHO12Tv,Yes,0,C
RHO13C,NA,2.734374998,NC
RHO13T,NA,40.17694091,C
RHO14C,NA,5.454711912,C
RHO14Cv,Yes,0,C
RHO14T,NA,25.46875,C
RHO14Tv,Yes,0,C
RHO15C,NA,37.46875,C
RHO15Cv,Yes,0,C
RHO15T,NA,213.2623901,NC
RHO15Tv,Yes,0,NC
RHO16C,NA,29.08605957,C
RHO16Cv,Yes,0,C
RHO16T,NA,57.296875,NC
RHO16Tv,Yes,0,NC
RHO17C,NA,5.468750001,NC
RHO17Cv,Yes,0,NC
RHO17T,NA,2.734375,NC
RHO18C,NA,2.734375002,NC
RHO18T,NA,13.48046875,NC
RHO18Tv,Yes,0,NC
RHO19C,NA,29.60937501,NC
RHO19Cv,Yes,0,NC
RHO19T,NA,52.33361817,NC
RHO19Tv,Yes,0,NC
RHO20C,NA,1071.536133,NC
RHO20T,NA,29.46875,NC
RHO21C,NA,5.454711912,NC
RHO21T,NA,2.734375002,NC
RHO22C,NA,20.79956055,NC
RHO22Cv,Yes,0,NC
RHO22T,NA,13.46875,NC
RHO22Tv,Yes,0,NC
RHO23C,NA,2.734375,NC
RHO23T,NA,62.24694833,NC
RHO23Tv,Yes,0,NC
RHO24C,NA,58.08087158,NC
RHO24Cv,Yes,0,NC
RHO24T,NA,2.734375,NC
RHO24Tv,Yes,0,NC
RHO25C,NA,5.468749998,NC
RHO25Cv,Yes,0,NC
RHO25T,NA,5.46875,NC
RHO25Tv,Yes,0,NC
RHO26C,NA,24.12194823,NC
RHO26Cv,Yes,0,NC
RHO26T,NA,25.65704346,NC
RHO27C,NA,2.734375001,NC
RHO27Cv,Yes,0,NC
RHO27T,NA,16.81127929,NC
RHO27Tv,Yes,0,NC
RHO28C,NA,247.3253174,C
RHO28T,NA,2.734375001,NC
RHO29C,NA,2.562500002,NC
RHO29Cv,Yes,0,NC
RHO29T,NA,5.45471192,C
RHO30C,NA,64.87780758,NC
RHO30T,NA,74.57092283,NC
RHO30Tv,Yes,0,NC
SLO01C,NA,21.5529785,NC
SLO01T,NA,14.56250001,NC
SLO02C,NA,28.16900635,NC
SLO02T,NA,31.25842284,NC
SLO03C,NA,5.444458014,NC
SLO03T,NA,10.7579956,NC
SLO04C,NA,13.125,NC
SLO04T,NA,2.735717774,NC
SLO05C,NA,25.47143555,NC
SLO05T,NA,2.735717777,NC
SLO06C,NA,84.13244633,NC
SLO06T,NA,267.8124389,NC
SLO07C,NA,33.7980957,NC
SLO07T,NA,2.735717771,NC
SLO08C,NA,2.735717775,NC
SLO08T,NA,77.41137695,NC
SLO09C,NA,129.6746826,NC
SLO09T,NA,5.444458006,NC
SLO10C,NA,25.47143555,NC
SLO10T,NA,3383.246887,NC
SLO11C,NA,37.7210083,NC
SLO11T,NA,207.2263794,NC
SLO12C,NA,5.444458009,NC
SLO12T,NA,2.735717774,NC
SLO13C,NA,12,NC
SLO13T,NA,47.61071774,NC
SLO14C,NA,77.62768555,NC
SLO14T,NA,1796.079895,NC
SLO15C,NA,115.4023438,NC
SLO15T,NA,8.022277833,NC
SLO16C,NA,5.471435549,NC
SLO16T,NA,2.735717775,NC
SLO17C,NA,1275.73407,NC
SLO17T,NA,361.3824463,NC
SLO18C,NA,189.527771,NC
SLO18T,NA,5.471435544,NC
SLO19C,NA,2.735717771,NC
SLO19T,NA,28.95275877,NC
SLO20C,NA,73.44683838,NC
SLO20T,NA,2.735717773,NC
SLO21C,NA,2.735717771,NC
SLO21T,NA,5.444458006,NC
SLO22C,NA,594.7060547,NC
SLO22T,NA,43.74951174,NC
SLO23C,NA,29.47143555,NC
SLO23T,NA,67.14483643,NC
SLO24C,NA,2.735717774,NC
SLO24T,NA,5.471435542,NC
SLO25C,NA,435.105896,NC
SLO25T,NA,5.471435546,NC
SLO26C,NA,36.15026856,NC
SLO26T,NA,17.47143555,NC
SLO27C,NA,5.471435548,NC
SLO27T,NA,297.4384155,NC
SLO28C,NA,2.735717771,NC
SLO28T,NA,408.7766113,NC
SLO29C,NA,8.02227783,NC
SLO29T,NA,2.735717775,NC
SLO30C,NA,2.735717775,NC
SLO30T,NA,16.875,NC
SMI01C,NA,14.08556414,NC
SMI01T,NA,5.402510342,NC
SMI02C,NA,2.736503604,NC
SMI02T,NA,69.98623688,NC
SMI03C,NA,24.82206774,NC
SMI03T,NA,9.473007203,NC
SMI04C,NA,475.1114147,NC
SMI04T,NA,119.8054023,NC
SMI05C,NA,126.8774537,NC
SMI05T,NA,2.736503602,NC
SMI06C,NA,53.35843063,NC
SMI06T,NA,8.776617643,NC
SMI07C,NA,23.22442674,NC
SMI07T,NA,769.3060653,NC
SMI08C,NA,2.736503605,NC
SMI08T,NA,9.473009825,NC
SMI09C,NA,25.4730072,NC
SMI09T,NA,5.402489686,NC
SMI10C,NA,91.05294035,NC
SMI10T,NA,22.49782468,NC
SMI11C,NA,29.90280865,NC
SMI11T,NA,33.47300719,NC
SMI12C,NA,2.736551283,NC
SMI12T,NA,29.4730072,NC
SMI13C,NA,2.736551285,NC
SMI13T,NA,18.93728126,NC
SMI14C,NA,2.736551285,NC
SMI14T,NA,2.736503604,NC
SMI15C,NA,2.736551285,NC
SMI15T,NA,5.465176467,NC
SMI16C,NA,19.91544152,NC
SMI16T,NA,2.736503602,NC
SMI17C,NA,2.736551284,NC
SMI17T,NA,5.473007209,NC
SMI18C,NA,53.05074835,NC
SMI18T,NA,59.02355323,NC
SMI19C,NA,2.736551284,NC
SMI19T,NA,13.71986941,NC
SMI20C,NA,5.473102568,NC
SMI20T,NA,2.736506283,NC
SMI21C,NA,11.13323236,NC
SMI21T,NA,60.25251676,NC
SMI22C,NA,374.6677912,NC
SMI22T,NA,9.4730072,NC
SMI23C,NA,88.10500478,NC
SMI23T,NA,233.2971155,NC
SMI24C,NA,2.736551286,NC
SMI24T,NA,2.736503602,NC
SMI25C,NA,2.736551284,NC
SMI25T,NA,285.8869683,NC
SMI26C,NA,8.246373173,NC
SMI26T,NA,29.16377913,NC
SMI27C,NA,144.1449704,NC
SMI27T,NA,5.40248864,NC
SMI28C,NA,3451.266299,NC
SMI28T,NA,63.52016079,NC
SMI29C,NA,18061.49554,NC
SMI29T,NA,344.3231679,NC
SMI30C,NA,53.36286168,NC
