Year,SiteID,Time,weight,PadID,Days,Treatment,Position,flume,Diversion
2019,RHO,1,497.2,RHO06C,12,control,top,C,
2019,RHO,2,16.5402,RHO06C,16,control,top,C,
2019,RHO,3,205.3,RHO06C,13,control,top,C,
2016,RHO,1,3.26,RHO06T,22,strips,top,NC,
2016,RHO,2,4.26,RHO06T,21,strips,top,NC,
2017,RHO,1,3.35,RHO06T,23,strips,top,NC,
2017,RHO,2,3.61,RHO06T,19,strips,top,NC,
2017,RHO,3,7.06,RHO06T,28,strips,top,NC,
2018,RHO,1,2.78,RHO06T,22,strips,top,NC,
2018,RHO,2,95.1,RHO06T,14,strips,top,NC,
2018,RHO,3,5.27,RHO06T,12,strips,top,NC,
2019,RHO,1,16.9871,RHO06T,12,strips,top,NC,
2019,RHO,2,8.6678,RHO06T,16,strips,top,NC,
2019,RHO,3,11.8606,RHO06T,13,strips,top,NC,
2016,RHO,1,6.34,RHO07C,22,control,top,C,
2016,RHO,2,14.25,RHO07C,21,control,top,C,
2017,RHO,1,45.85,RHO07C,23,control,top,C,
2017,RHO,2,85.77,RHO07C,19,control,top,C,
2017,RHO,3,4.54,RHO07C,28,control,top,C,
2018,RHO,1,3.36,RHO07C,22,control,top,C,
2018,RHO,2,19.09,RHO07C,14,control,top,C,
2018,RHO,3,75.55,RHO07C,12,control,top,C,
2019,RHO,1,203.7557,RHO07C,12,control,top,C,
2019,RHO,2,62.5557,RHO07C,16,control,top,C,
2019,RHO,3,118.3557,RHO07C,13,control,top,C,
2016,RHO,1,2.66,RHO07T,22,strips,top,C,
2016,RHO,2,2.1,RHO07T,21,strips,top,C,
2017,RHO,1,2.73,RHO07T,23,strips,top,C,
2017,RHO,2,1.96,RHO07T,19,strips,top,C,
2017,RHO,3,2.31,RHO07T,28,strips,top,C,
2018,RHO,1,1.66,RHO07T,22,strips,top,C,
2018,RHO,2,1.83,RHO07T,14,strips,top,C,
2018,RHO,3,2.24,RHO07T,12,strips,top,C,
2019,RHO,1,54.9778,RHO07T,12,strips,top,C,
2019,RHO,2,13.0276,RHO07T,16,strips,top,C,
2019,RHO,3,6.4552,RHO07T,13,strips,top,C,
2016,RHO,1,10.73,RHO08C,22,control,top,NC,
2016,RHO,2,4.31,RHO08C,21,control,top,NC,
2017,RHO,1,120.69,RHO08C,23,control,top,NC,
2017,RHO,2,123.22,RHO08C,19,control,top,NC,
2017,RHO,3,45.66,RHO08C,28,control,top,NC,
2018,RHO,1,3.49,RHO08C,22,control,top,NC,
2018,RHO,2,47.88,RHO08C,14,control,top,NC,
2018,RHO,3,7.28,RHO08C,12,control,top,NC,
2019,RHO,1,13.4718,RHO08C,12,control,top,NC,
2019,RHO,2,9.6506,RHO08C,16,control,top,NC,
2019,RHO,3,15.551,RHO08C,13,control,top,NC,
2016,RHO,1,1.62,RHO08T,22,strips,top,C,
2016,RHO,2,2.64,RHO08T,21,strips,top,C,
2017,RHO,1,1.48,RHO08T,23,strips,top,C,
2017,RHO,2,3.74,RHO08T,19,strips,top,C,
2017,RHO,3,6.98,RHO08T,28,strips,top,C,
